barra,year,month,month_label,voltage_kv,nodal_price_stress_score,system_adjusted_nodal_risk_score,monthly_nodal_stress_rank,due_diligence_tier,data_quality_score,low_information_flag,main_driver,mean_price,p95_price,volatility_metric,critical_window_hours,topology_evidence_grade
TINTAYA EXISTENTE 138,2025,9,2025-09,138.0,64.07,80.55,8.0,Priority B,0.8,False,Volatility,0.1104,0.1548,0.0192,36.0,A
BELAUNDE 138,2025,9,2025-09,138.0,60.75,79.67,12.0,Priority B,0.8,False,Price level,0.112,0.1595,0.0182,36.0,A
TINTAYA NUEVA 220,2025,9,2025-09,220.0,63.28,79.45,13.0,Priority B,0.8,False,Volatility,0.1099,0.1543,0.0192,36.0,A
GALLITO CIEGO 60,2025,9,2025-09,60.0,59.29,78.79,16.0,Priority B,0.8,False,Price level,0.1117,0.1599,0.0182,36.0,A
MISAPUQUIO 33,2025,9,2025-09,33.0,60.17,77.44,22.0,Priority B,0.8,False,Volatility,0.1114,0.1561,0.0191,36.0,A
PARIAC 66,2025,9,2025-09,66.0,59.95,77.21,23.0,Priority B,0.8,False,Price level,0.12,0.1706,0.0194,36.0,A
ZORRITOS 220,2025,9,2025-09,220.0,56.51,75.61,30.0,Priority A,0.8,False,Price level,0.1104,0.1574,0.0181,36.0,A
GE1 33,2025,9,2025-09,33.0,56.38,75.38,31.0,Priority B,0.8,False,Price level,0.1095,0.1571,0.0181,36.0,A
VALLE DEL CHIRA 220,2025,9,2025-09,220.0,56.78,74.2,36.0,Priority B,0.8,False,Price level,0.1095,0.1562,0.0179,36.0,A
PLANTAETANOL 60,2025,9,2025-09,60.0,57.54,73.49,38.0,Priority A,0.8,False,Price level,0.1092,0.1558,0.0179,36.0,A
PIURA OESTE 220,2025,9,2025-09,220.0,55.8,70.82,48.0,Priority B,0.8,False,Price level,0.1094,0.1557,0.0179,36.0,A
NCTUMBES60,2025,9,2025-09,60.0,54.25,69.44,53.0,Priority A,0.8,False,Price level,0.1095,0.1561,0.0179,36.0,A
TALARA 220,2025,9,2025-09,220.0,54.25,69.44,53.0,Priority B,0.8,False,Price level,0.1095,0.1561,0.0179,36.0,A
TALARA13.2,2025,9,2025-09,13.2,54.5,69.06,54.0,Priority B,0.8,False,Price level,0.1094,0.1561,0.0179,36.0,A
JAEN 138,2025,10,2025-10,138.0,66.02,65.28,1.0,Priority B,0.8,False,Price level,0.0994,0.1352,0.0161,37.0,A
GALLITO CIEGO 60,2025,10,2025-10,60.0,63.86,64.43,5.0,Priority B,0.8,False,Price level,0.1,0.1351,0.0155,37.0,A
HUAYLLACHO 15,2025,10,2025-10,15.0,61.82,64.09,7.0,Priority A,0.8,False,Price level,0.0963,0.1306,0.0168,37.0,A
SAN ANTONIO 15,2025,10,2025-10,15.0,61.44,63.83,8.0,Priority B,0.8,False,Price level,0.0962,0.1305,0.0168,37.0,A
SAN IGNACIO 15,2025,10,2025-10,15.0,61.44,63.83,8.0,Priority B,0.8,False,Price level,0.0962,0.1305,0.0168,37.0,A
ZORRITOS 220,2025,10,2025-10,220.0,61.45,63.22,11.0,Priority A,0.8,False,Price level,0.0995,0.1327,0.0152,37.0,A
BELAUNDE 138,2025,10,2025-10,138.0,60.73,62.87,13.0,Priority B,0.8,False,Price level,0.0989,0.1339,0.0155,37.0,A
GE1 33,2025,10,2025-10,33.0,60.73,61.99,18.0,Priority B,0.8,False,Price level,0.0991,0.1317,0.0151,37.0,A
TINTAYA EXISTENTE 138,2025,10,2025-10,138.0,60.18,61.63,20.0,Priority B,0.8,False,Price level,0.0947,0.1286,0.0163,37.0,A
PLANTAETANOL 60,2025,10,2025-10,60.0,60.03,61.27,22.0,Priority A,0.8,False,Price level,0.0986,0.1319,0.0151,37.0,A
VALLE DEL CHIRA 220,2025,10,2025-10,220.0,60.16,60.36,27.0,Priority B,0.8,False,Price level,0.0986,0.1316,0.015,37.0,A
PARIAC 66,2025,10,2025-10,66.0,61.26,60.18,28.0,Priority B,0.8,False,Price level,0.1045,0.1396,0.0159,37.0,A
TINTAYA NUEVA 220,2025,10,2025-10,220.0,59.51,59.99,29.0,Priority B,0.8,False,Volatility,0.0943,0.1282,0.0163,37.0,A
NCTUMBES60,2025,10,2025-10,60.0,58.68,58.97,34.0,Priority A,0.8,False,Price level,0.0988,0.1317,0.015,37.0,A
TALARA 220,2025,10,2025-10,220.0,58.68,58.97,34.0,Priority B,0.8,False,Price level,0.0988,0.1317,0.015,37.0,A
PIURA OESTE 220,2025,10,2025-10,220.0,59.0,58.69,35.0,Priority B,0.8,False,Price level,0.0983,0.1314,0.015,37.0,A
JULIACA10,2025,10,2025-10,10.0,55.9,58.5,36.0,Priority B,0.8,False,Volatility,0.093,0.1269,0.0162,37.0,A
MISAPUQUIO 33,2025,10,2025-10,33.0,59.73,57.93,39.0,Priority B,0.8,False,Volatility,0.0966,0.1302,0.0164,37.0,A
TALARA13.2,2025,10,2025-10,13.2,58.21,57.55,41.0,Priority B,0.8,False,Price level,0.0987,0.1315,0.015,37.0,A
JAEN 138,2025,11,2025-11,138.0,64.18,58.66,4.0,Priority B,0.8,False,Price level,0.1003,0.1383,0.0152,36.0,A
HUAYLLACHO 15,2025,11,2025-11,15.0,63.41,58.22,7.0,Priority A,0.8,False,Price level,0.0977,0.1352,0.0152,36.0,A
SAN ANTONIO 15,2025,11,2025-11,15.0,63.08,58.0,8.0,Priority B,0.8,False,Price level,0.0977,0.1351,0.0152,36.0,A
SAN IGNACIO 15,2025,11,2025-11,15.0,63.08,58.0,8.0,Priority B,0.8,False,Price level,0.0977,0.1351,0.0152,36.0,A
BELAUNDE 138,2025,11,2025-11,138.0,62.01,57.62,10.0,Priority B,0.8,False,Price level,0.0996,0.1357,0.0146,36.0,A
GALLITO CIEGO 60,2025,11,2025-11,60.0,60.91,57.47,11.0,Priority B,0.8,False,Price level,0.0995,0.1363,0.0148,36.0,A
ZORRITOS 220,2025,11,2025-11,220.0,61.07,57.17,13.0,Priority A,0.8,False,Price level,0.0998,0.1358,0.0145,36.0,A
VALLE DEL CHIRA 220,2025,11,2025-11,220.0,60.76,56.87,15.0,Priority B,0.8,False,Price level,0.0991,0.135,0.0145,36.0,A
PIURA OESTE 220,2025,11,2025-11,220.0,60.64,56.72,16.0,Priority B,0.8,False,Price level,0.0989,0.1347,0.0145,36.0,A
PLANTAETANOL 60,2025,11,2025-11,60.0,62.42,56.11,20.0,Priority A,0.8,False,Price level,0.0986,0.1336,0.0142,36.0,A
GE1 33,2025,11,2025-11,33.0,59.23,54.08,32.0,Priority B,0.8,False,Price level,0.099,0.1347,0.0144,36.0,A
NCTUMBES60,2025,11,2025-11,60.0,59.42,53.84,33.0,Priority A,0.8,False,Price level,0.0991,0.1347,0.0144,36.0,A
TALARA 220,2025,11,2025-11,220.0,59.42,53.84,33.0,Priority B,0.8,False,Price level,0.0991,0.1347,0.0144,36.0,A
TINTAYA EXISTENTE 138,2025,11,2025-11,138.0,58.69,53.6,34.0,Priority B,0.8,False,Volatility,0.0959,0.1324,0.0148,36.0,A
PARIAC 66,2025,11,2025-11,66.0,60.41,53.44,35.0,Priority B,0.8,False,Price level,0.1052,0.1428,0.0151,36.0,A
TALARA13.2,2025,11,2025-11,13.2,58.86,53.28,36.0,Priority B,0.8,False,Price level,0.0991,0.1345,0.0143,36.0,A
TINTAYA NUEVA 220,2025,11,2025-11,220.0,58.05,52.79,39.0,Priority B,0.8,False,Volatility,0.0956,0.1319,0.0148,36.0,A
JULIACA10,2025,11,2025-11,10.0,56.7,52.3,42.0,Priority B,0.8,False,Volatility,0.0941,0.13,0.0148,36.0,A
MISAPUQUIO 33,2025,11,2025-11,33.0,59.39,51.64,46.0,Priority B,0.8,False,Volatility,0.0981,0.1348,0.015,36.0,A
ZORRITOS 220,2025,12,2025-12,220.0,79.34,33.25,2.0,Priority A,1.0,False,Price level,0.142,0.1701,0.0634,37.0,A
VALLE DEL CHIRA 220,2025,12,2025-12,220.0,78.04,33.16,3.0,Priority B,1.0,False,Price level,0.1412,0.1689,0.0634,37.0,A
JAEN 138,2025,12,2025-12,138.0,77.68,33.08,4.0,Priority B,1.0,False,Price level,0.1443,0.1749,0.0593,37.0,A
GALLITO CIEGO 60,2025,12,2025-12,60.0,76.58,32.91,6.0,Priority B,1.0,False,Price level,0.1402,0.1685,0.0625,37.0,A
PIURA OESTE 220,2025,12,2025-12,220.0,77.87,32.82,7.0,Priority B,1.0,False,Price level,0.1411,0.1684,0.0634,37.0,A
GE1 33,2025,12,2025-12,33.0,77.42,32.73,8.0,Priority B,1.0,False,Price level,0.141,0.1687,0.0633,37.0,A
NCTUMBES60,2025,12,2025-12,60.0,77.56,32.6,9.0,Priority A,1.0,False,Price level,0.1411,0.1689,0.0633,37.0,A
TALARA 220,2025,12,2025-12,220.0,77.56,32.6,9.0,Priority B,1.0,False,Price level,0.1411,0.1689,0.0633,37.0,A
PLANTAETANOL 60,2025,12,2025-12,60.0,77.3,32.47,10.0,Priority A,1.0,False,Price level,0.1425,0.1683,0.0631,37.0,A
PARIAC 66,2025,12,2025-12,66.0,76.87,32.38,11.0,Priority B,1.0,False,Price level,0.149,0.1815,0.0539,37.0,A
TALARA13.2,2025,12,2025-12,13.2,75.82,32.3,12.0,Priority B,1.0,False,Price level,0.1409,0.1687,0.0633,37.0,A
BELAUNDE 138,2025,12,2025-12,138.0,74.41,31.32,23.0,Priority B,1.0,False,Price level,0.1416,0.1701,0.0544,37.0,A
MISAPUQUIO 33,2025,12,2025-12,33.0,63.5,27.97,57.0,Priority B,1.0,False,Price level,0.1433,0.1827,0.0244,37.0,A
HUAYLLACHO 15,2025,12,2025-12,15.0,58.4,27.66,60.0,Priority A,1.0,False,Price level,0.1329,0.1692,0.0225,37.0,A
SAN ANTONIO 15,2025,12,2025-12,15.0,52.9,27.41,62.0,Priority B,1.0,False,Price level,0.1327,0.1691,0.0225,36.5,A
SAN IGNACIO 15,2025,12,2025-12,15.0,52.9,27.41,62.0,Priority B,1.0,False,Price level,0.1327,0.1691,0.0225,36.5,A
TINTAYA NUEVA 220,2025,12,2025-12,220.0,53.19,25.64,78.0,Priority B,1.0,False,Price level,0.1285,0.1635,0.0217,37.0,A
TINTAYA EXISTENTE 138,2025,12,2025-12,138.0,53.05,25.53,79.0,Priority B,1.0,False,Price level,0.129,0.1641,0.0218,37.0,A
JULIACA10,2025,12,2025-12,10.0,51.19,24.63,87.0,Priority B,1.0,False,Price level,0.1261,0.1603,0.0215,37.0,A
