sector,contract_type,barra,months_observed,avg_industrial_exposure_score,p90_industrial_exposure_score,max_industrial_exposure_score,priority_months,watchlist_months,low_info_months,spot_share,monthly_mwh,dominant_driver,watchlist_share,profile_priority_score,signal_stability_label_es
agroindustry_seasonal,balanced_30pct_spot_ppa,MOQUEGUA 220,36,41.69,50.04,53.92,0,0,0,0.3,6000,Nivel de precio,0.0,39.36,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,SOCABAYA 138,36,41.52,50.96,54.86,0,0,0,0.3,6000,Nivel de precio,0.0,39.65,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CAJAMARCA 220,36,41.48,51.68,52.55,0,0,0,0.3,6000,Nivel de precio,0.0,39.47,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,ILO2 220,36,41.38,49.32,53.59,0,0,0,0.3,6000,Nivel de precio,0.0,38.99,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,TRUJILLO 220,36,41.23,49.76,53.85,0,0,0,0.3,6000,Nivel de precio,0.0,39.07,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,SOCABAYA 220,36,41.1,50.42,54.08,0,0,0,0.3,6000,Nivel de precio,0.0,39.22,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CHARCANI VI 33,36,41.08,49.98,52.16,0,0,0,0.3,6000,Nivel de precio,0.0,38.8,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,MONTALVO 220,36,40.7,49.38,53.34,0,0,0,0.3,6000,Nivel de precio,0.0,38.66,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,CARHUAQUERO 220,36,40.57,51.72,52.79,0,0,0,0.3,6000,Nivel de precio,0.0,39.1,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,HUALLIN60,21,40.28,52.03,54.92,0,0,0,0.3,6000,Nivel de precio,0.0,39.37,Sensible
agroindustry_seasonal,balanced_30pct_spot_ppa,S.E. ILO4 500,36,39.92,48.51,52.16,0,0,0,0.3,6000,Nivel de precio,0.0,37.91,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,AUCAYACU 138,36,39.6,51.33,54.85,0,0,0,0.3,6000,Nivel de precio,0.0,38.88,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,RUBI 220,33,39.49,48.03,53.06,0,0,0,0.3,6000,Volatilidad,0.0,37.74,Variable
agroindustry_seasonal,balanced_30pct_spot_ppa,BIOENERGIA 13.8,36,39.25,50.81,59.17,0,0,0,0.3,6000,Nivel de precio,0.0,39.24,Variable
